TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
2.10894e+00	4.14357e+03	1.24158e+14	1.36546e+02	1.35744e+28	4.00000e+02	5.56327e+25	1.37267e+02	2.19064e-01	
2.11104e+00	4.22255e+03	1.26525e+14	1.00000e+02	2.22531e+26	1.37267e+02	1.36300e+28	1.36559e+02	2.18165e-01	
2.11121e+00	4.22893e+03	1.26717e+14	1.36559e+02	1.38525e+28	4.00000e+02	5.56327e+25	1.37266e+02	2.10079e-01	
2.11330e+00	4.30786e+03	1.29083e+14	1.00000e+02	2.22531e+26	1.37266e+02	1.39082e+28	1.36572e+02	2.09225e-01	
2.11348e+00	4.31428e+03	1.29275e+14	1.36572e+02	1.41307e+28	4.00000e+02	5.56327e+25	1.37265e+02	2.01627e-01	
2.11557e+00	4.39317e+03	1.31640e+14	1.00000e+02	2.22531e+26	1.37265e+02	1.41863e+28	1.36584e+02	2.00815e-01	
2.11574e+00	4.39963e+03	1.31834e+14	1.36584e+02	1.44089e+28	4.00000e+02	5.56327e+25	1.37264e+02	1.93666e-01	
2.11783e+00	4.47847e+03	1.34198e+14	1.00000e+02	2.22531e+26	1.37264e+02	1.44645e+28	1.36596e+02	1.92893e-01	
2.11801e+00	4.48498e+03	1.34393e+14	1.36596e+02	1.46870e+28	4.00000e+02	5.56327e+25	1.37263e+02	1.86160e-01	
2.12010e+00	4.56378e+03	1.36755e+14	1.00000e+02	2.22531e+26	1.37263e+02	1.47427e+28	1.36608e+02	1.85424e-01	
2.12028e+00	4.57033e+03	1.36951e+14	1.36608e+02	1.49652e+28	4.00000e+02	5.56327e+25	1.37262e+02	1.79075e-01	
2.12237e+00	4.64909e+03	1.39312e+14	1.00000e+02	2.22531e+26	1.37262e+02	1.50208e+28	1.36619e+02	1.78373e-01	
2.12254e+00	4.65568e+03	1.39510e+14	1.36619e+02	1.52434e+28	4.00000e+02	5.56327e+25	1.37261e+02	1.72380e-01	
