TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
8.75500e+00	7.28348e+03	2.18091e+14	8.14015e+01	2.73374e+26	8.85437e+01	2.10816e+28	8.84483e+01	1.57776e-01	
8.75516e+00	7.28606e+03	2.18168e+14	8.84483e+01	2.13550e+28	9.79657e+01	2.27152e+26	8.85436e+01	1.57558e-01	
8.75561e+00	7.29304e+03	2.18377e+14	8.12620e+01	2.73843e+26	8.85436e+01	2.15821e+28	8.84484e+01	1.57355e-01	
8.75566e+00	7.29382e+03	2.18401e+14	8.84484e+01	2.18560e+28	9.82130e+01	2.26580e+26	8.85436e+01	1.57053e-01	
8.75616e+00	7.30173e+03	2.18637e+14	8.85436e+01	2.20826e+28	9.84615e+01	2.26008e+26	8.86391e+01	1.57020e-01	
8.75624e+00	7.30288e+03	2.18672e+14	8.11239e+01	2.74310e+26	8.86391e+01	2.23086e+28	8.85436e+01	1.56588e-01	
8.75668e+00	7.30977e+03	2.18879e+14	8.85436e+01	2.25829e+28	9.87110e+01	2.25436e+26	8.86390e+01	1.56539e-01	
8.75688e+00	7.31299e+03	2.18975e+14	8.09872e+01	2.74773e+26	8.86390e+01	2.28083e+28	8.85436e+01	1.56152e-01	
8.75720e+00	7.31796e+03	2.19124e+14	8.85436e+01	2.30831e+28	9.89618e+01	2.24865e+26	8.86389e+01	1.56015e-01	
8.75754e+00	7.32339e+03	2.19287e+14	8.08518e+01	2.75233e+26	8.86389e+01	2.33080e+28	8.85437e+01	1.55711e-01	
8.75773e+00	7.32631e+03	2.19374e+14	8.85437e+01	2.35832e+28	9.92136e+01	2.24295e+26	8.86389e+01	1.55481e-01	
8.75822e+00	7.33409e+03	2.19608e+14	8.07177e+01	2.75690e+26	8.86389e+01	2.38075e+28	8.85438e+01	1.55266e-01	
8.75827e+00	7.33480e+03	2.19629e+14	8.85438e+01	2.40832e+28	9.94666e+01	2.23724e+26	8.86389e+01	1.54936e-01	
8.75882e+00	7.34342e+03	2.19887e+14	8.86389e+01	2.43069e+28	9.97207e+01	2.23154e+26	8.87341e+01	1.54906e-01	
8.75892e+00	7.34507e+03	2.19937e+14	8.05850e+01	2.76144e+26	8.87341e+01	2.45301e+28	8.86389e+01	1.54451e-01	
8.75938e+00	7.35219e+03	2.20150e+14	8.86389e+01	2.48062e+28	9.99759e+01	2.22584e+26	8.87340e+01	1.54382e-01	
8.75964e+00	7.35634e+03	2.20275e+14	8.04537e+01	2.76595e+26	8.87340e+01	2.50288e+28	8.86389e+01	1.53992e-01	
8.75994e+00	7.36110e+03	2.20417e+14	8.86389e+01	2.53054e+28	1.00232e+02	2.22015e+26	8.87340e+01	1.53818e-01	
8.76038e+00	7.36792e+03	2.20622e+14	8.03237e+01	2.77042e+26	8.87340e+01	2.55274e+28	8.86390e+01	1.53529e-01	
8.76052e+00	7.37016e+03	2.20689e+14	8.86390e+01	2.58044e+28	1.00490e+02	2.21446e+26	8.87339e+01	1.53244e-01	
8.76110e+00	7.37936e+03	2.20965e+14	8.87339e+01	2.60259e+28	1.00748e+02	2.20878e+26	8.88290e+01	1.53151e-01	
8.76113e+00	7.37980e+03	2.20978e+14	8.01951e+01	2.77487e+26	8.88290e+01	2.62468e+28	8.87339e+01	1.52679e-01	
8.76169e+00	7.38869e+03	2.21244e+14	8.87339e+01	2.65242e+28	1.01008e+02	2.20310e+26	8.88289e+01	1.52661e-01	
8.76190e+00	7.39196e+03	2.21342e+14	8.00679e+01	2.77927e+26	8.88289e+01	2.67446e+28	8.87339e+01	1.52203e-01	
8.76230e+00	7.39816e+03	2.21528e+14	8.87339e+01	2.70225e+28	1.01269e+02	2.19742e+26	8.88288e+01	1.52068e-01	
8.76269e+00	7.40444e+03	2.21717e+14	7.99420e+01	2.78365e+26	8.88288e+01	2.72422e+28	8.87340e+01	1.51723e-01	
8.76291e+00	7.40777e+03	2.21816e+14	8.87340e+01	2.75206e+28	1.01531e+02	2.19176e+26	8.88288e+01	1.51465e-01	
8.76351e+00	7.41724e+03	2.22100e+14	7.98175e+01	2.78799e+26	8.88288e+01	2.77398e+28	8.87341e+01	1.51239e-01	
8.76352e+00	7.41753e+03	2.22109e+14	8.87341e+01	2.80186e+28	1.01794e+02	2.18609e+26	8.88288e+01	1.50853e-01	
8.76415e+00	7.42741e+03	2.22405e+14	8.88288e+01	2.82372e+28	1.02058e+02	2.18044e+26	8.89236e+01	1.50841e-01	
8.76433e+00	7.43033e+03	2.22493e+14	7.96944e+01	2.79230e+26	8.89236e+01	2.84552e+28	8.88288e+01	1.50350e-01	
8.76478e+00	7.43742e+03	2.22705e+14	8.88288e+01	2.87344e+28	1.02323e+02	2.17478e+26	8.89235e+01	1.50232e-01	
8.76518e+00	7.44375e+03	2.22895e+14	7.95726e+01	2.79657e+26	8.89235e+01	2.89519e+28	8.88289e+01	1.49856e-01	
8.76543e+00	7.44758e+03	2.23010e+14	8.88289e+01	2.92316e+28	1.02589e+02	2.16914e+26	8.89235e+01	1.49601e-01	
8.76605e+00	7.45749e+03	2.23307e+14	7.94522e+01	2.80081e+26	8.89235e+01	2.94485e+28	8.88290e+01	1.49357e-01	
8.76608e+00	7.45788e+03	2.23319e+14	8.88290e+01	2.97286e+28	1.02857e+02	2.16350e+26	8.89235e+01	1.48960e-01	
8.76674e+00	7.46830e+03	2.23631e+14	8.89235e+01	2.99449e+28	1.03125e+02	2.15787e+26	8.90181e+01	1.48945e-01	
8.76694e+00	7.47153e+03	2.23728e+14	7.93332e+01	2.80501e+26	8.90181e+01	3.01607e+28	8.89235e+01	1.48440e-01	
8.76740e+00	7.47885e+03	2.23947e+14	8.89235e+01	3.04412e+28	1.03395e+02	2.15224e+26	8.90180e+01	1.48311e-01	
8.76785e+00	7.48591e+03	2.24159e+14	7.92156e+01	2.80918e+26	8.90180e+01	3.06564e+28	8.89236e+01	1.47932e-01	
8.76808e+00	7.48955e+03	2.24268e+14	8.89236e+01	3.09374e+28	1.03666e+02	2.14662e+26	8.90180e+01	1.47653e-01	
8.76876e+00	7.50038e+03	2.24593e+14	8.90180e+01	3.11520e+28	1.03937e+02	2.14101e+26	8.91125e+01	1.47509e-01	
8.76878e+00	7.50062e+03	2.24600e+14	7.90993e+01	2.81331e+26	8.91125e+01	3.13661e+28	8.90179e+01	1.46995e-01	
8.76945e+00	7.51132e+03	2.24921e+14	8.90179e+01	3.16475e+28	1.04210e+02	2.13540e+26	8.91124e+01	1.46985e-01	
